Region,LHIN,# Critical Care Beds,# Critical Care Patients,# Baseline Vented Beds,# Expanded Vented Beds,# Vented Patients,% Ventilator Capacity Remaining,# Suspected COVID-19,# Confirmed Positive COVID-19,# Confirmed Positive COVID-19 Patients with Invasive Ventilation,# Patients in Expanded ICU,# COVID Positive Patients in Expanded ICU
West,L1: ESC,87,49,73,119,14,11.8%,23,5,2,7
West,L2: SW,187,129,98,261,29,11.1%,13,1,1,5
West,L3: WW,98,71,58,119,17,14.3%,23,7,5,4
West,L4: HNHB,271,182,172,387,44,11.4%,18,9,3,5
Central,L5: CW,68,61,26,47,29,61.7%,10,16,11,5
Central,L6: MH,130,98,116,178,51,28.7%,27,16,13,14
Central,L8: Central,153,123,130,255,80,31.4%,32,34,29,17
Central,L12: NSM,48,24,26,84,12,14.3%,4,0,0,2
Toronto,L7: Toronto,373,286,266,411,131,31.9%,49,52,42,24
East,L9: CE,163,125,109,226,56,24.8%,48,25,15,26
East,L10: SE,103,69,57,116,15,12.9%,5,0,0,2
East,L11: Champlain,199,139,119,309,34,11.0%,39,2,2,8
North,L13: NE,102,61,53,137,13,9.5%,8,0,0,1
North,L14: NW,30,13,16,41,2,4.9%,1,0,0,0
