Region,LHIN,# Critical Care Beds,# Critical Care Patients,# Baseline Vented Beds,# Expanded Vented Beds,# Vented Patients,% Ventilator Capacity Remaining,# Suspected COVID-19,# Confirmed Positive COVID-19,# Confirmed Positive COVID-19 Patients with Invasive Ventilation,# Patients in Expanded ICU,# COVID Positive Patients in Expanded ICU
West,L1: ESC,87,55,73,123,25,20.30%,25,5,4,10,
West,L2: SW,187,129,98,209,23,11.00%,42,7,4,12,
West,L3: WW,98,64,58,113,18,15.90%,16,11,9,4,
West,L4: HNHB,271,178,172,349,41,11.70%,32,8,7,7,
Central,L5: CW,68,47,26,86,28,32.60%,9,18,14,4,
Central,L6: MH,130,104,116,178,57,32.00%,17,26,21,9,
Central,L8: Central,153,126,130,245,72,29.40%,21,40,31,8,
Central,L12: NSM,48,36,26,86,9,10.50%,14,1,0,5,
Toronto,L7: Toronto,373,298,266,430,152,35.30%,55,61,51,27,
East,L9: CE,163,126,109,230,72,31.30%,39,32,25,23,
East,L10: SE,103,76,57,121,28,23.10%,8,0,0,4,
East,L11: Champlain,199,140,119,298,40,13.40%,25,13,8,7,
North,L13: NE,102,49,53,128,12,9.40%,9,2,1,1,
North,L14: NW,30,12,16,41,1,2.40%,1,1,0,0,
