id,date,province,cumulative_recovered
1988,2020-04-10,Alberta,713
1989,2020-04-09,Alberta,592
1990,2020-04-08,Alberta,519
1991,2020-04-07,Alberta,447
1992,2020-04-06,Alberta,361
1993,2020-04-05,Alberta,279
1994,2020-04-04,Alberta,196
1995,2020-04-03,Alberta,196
1996,2020-04-02,Alberta,174
1997,2020-04-01,Alberta,142
1998,2020-03-31,Alberta,120
1999,2020-03-30,Alberta,94
2000,2020-03-29,Alberta,73
2001,2020-03-28,Alberta,53
2002,2020-03-27,Alberta,33
2003,2020-03-26,Alberta,27
2004,2020-03-25,Alberta,3
2005,2020-03-24,Alberta,3
2006,2020-03-23,Alberta,3
2007,2020-03-22,Alberta,3
2008,2020-03-21,Alberta,3
2009,2020-03-20,Alberta,3
2010,2020-03-19,Alberta,2
2011,2020-03-18,Alberta,0
2012,2020-03-17,Alberta,0
2013,2020-03-16,Alberta,0
2014,2020-03-15,Alberta,0
2015,2020-03-14,Alberta,0
2016,2020-03-13,Alberta,0
2017,2020-03-12,Alberta,0
2018,2020-03-11,Alberta,0
2019,2020-03-10,Alberta,0
2020,2020-03-09,Alberta,0
2021,2020-03-08,Alberta,0
2022,2020-03-07,Alberta,0
2023,2020-03-06,Alberta,0
2024,2020-03-05,Alberta,0
2025,2020-03-04,Alberta,-1
2026,2020-03-03,Alberta,-1
2027,2020-03-02,Alberta,-1
2028,2020-03-01,Alberta,-1
2029,2020-02-29,Alberta,-1
2030,2020-02-28,Alberta,-1
2031,2020-02-27,Alberta,-1
2032,2020-02-26,Alberta,-1
2033,2020-02-25,Alberta,-1
2034,2020-02-24,Alberta,-1
2035,2020-02-23,Alberta,-1
2036,2020-02-22,Alberta,-1
2037,2020-02-21,Alberta,-1
2038,2020-02-20,Alberta,-1
2039,2020-02-19,Alberta,-1
2040,2020-02-18,Alberta,-1
2041,2020-02-17,Alberta,-1
2042,2020-02-16,Alberta,-1
2043,2020-02-15,Alberta,-1
2044,2020-02-14,Alberta,-1
2045,2020-02-13,Alberta,-1
2046,2020-02-12,Alberta,-1
2047,2020-04-10,BC,879
2048,2020-04-09,BC,858
2049,2020-04-08,BC,838
2050,2020-04-07,BC,805
2051,2020-04-06,BC,783
2052,2020-04-05,BC,704
2053,2020-04-04,BC,704
2054,2020-04-03,BC,673
2055,2020-04-02,BC,641
2056,2020-04-01,BC,606
2057,2020-03-31,BC,507
2058,2020-03-30,BC,469
2059,2020-03-29,BC,396
2060,2020-03-28,BC,396
2061,2020-03-27,BC,275
2062,2020-03-26,BC,186
2063,2020-03-25,BC,183
2064,2020-03-24,BC,173
2065,2020-03-23,BC,100
2066,2020-03-22,BC,6
2067,2020-03-21,BC,6
2068,2020-03-20,BC,6
2069,2020-03-19,BC,5
2070,2020-03-18,BC,5
2071,2020-03-17,BC,5
2072,2020-03-16,BC,5
2073,2020-03-15,BC,5
2074,2020-03-14,BC,5
2075,2020-03-13,BC,5
2076,2020-03-12,BC,4
2077,2020-03-11,BC,4
2078,2020-03-10,BC,4
2079,2020-03-09,BC,4
2080,2020-03-08,BC,4
2081,2020-03-07,BC,4
2082,2020-03-06,BC,4
2083,2020-03-05,BC,4
2084,2020-03-04,BC,4
2085,2020-03-03,BC,4
2086,2020-03-02,BC,4
2087,2020-03-01,BC,4
2088,2020-02-29,BC,4
2089,2020-02-28,BC,4
2090,2020-02-27,BC,4
2091,2020-02-26,BC,4
2092,2020-02-25,BC,4
2093,2020-02-24,BC,1
2094,2020-02-23,BC,1
2095,2020-02-22,BC,1
2096,2020-02-21,BC,1
2097,2020-02-20,BC,1
2098,2020-02-19,BC,1
2099,2020-02-18,BC,0
2100,2020-02-17,BC,0
2101,2020-02-16,BC,0
2102,2020-02-15,BC,0
2103,2020-02-14,BC,0
2104,2020-02-13,BC,0
2105,2020-02-12,BC,0
2106,2020-04-10,Manitoba,92
2107,2020-04-09,Manitoba,76
2108,2020-04-08,Manitoba,69
2109,2020-04-07,Manitoba,21
2110,2020-04-06,Manitoba,17
2111,2020-04-05,Manitoba,17
2112,2020-04-04,Manitoba,17
2113,2020-04-03,Manitoba,11
2114,2020-04-02,Manitoba,11
2115,2020-04-01,Manitoba,4
2116,2020-03-31,Manitoba,4
2117,2020-03-30,Manitoba,2
2118,2020-03-29,Manitoba,2
2119,2020-03-28,Manitoba,0
2120,2020-03-27,Manitoba,0
2121,2020-03-26,Manitoba,0
2122,2020-03-25,Manitoba,0
2123,2020-03-24,Manitoba,0
2124,2020-03-23,Manitoba,0
2125,2020-03-22,Manitoba,0
2126,2020-03-21,Manitoba,0
2127,2020-03-20,Manitoba,0
2128,2020-03-19,Manitoba,0
2129,2020-03-18,Manitoba,0
2130,2020-03-17,Manitoba,0
2131,2020-03-16,Manitoba,0
2132,2020-03-15,Manitoba,0
2134,2020-03-13,Manitoba,0
2136,2020-03-11,Manitoba,-1
2138,2020-03-09,Manitoba,-1
2140,2020-03-07,Manitoba,-1
2142,2020-03-05,Manitoba,-1
2144,2020-03-03,Manitoba,-1
2146,2020-03-01,Manitoba,-1
2148,2020-02-28,Manitoba,-1
2150,2020-02-26,Manitoba,-1
2152,2020-02-24,Manitoba,-1
2154,2020-02-22,Manitoba,-1
2156,2020-02-20,Manitoba,-1
2158,2020-02-18,Manitoba,-1
2160,2020-02-16,Manitoba,-1
2162,2020-02-14,Manitoba,-1
2164,2020-02-12,Manitoba,-1
2166,2020-04-09,New Brunswick,53
2168,2020-04-07,New Brunswick,39
2170,2020-04-05,New Brunswick,28
2172,2020-04-03,New Brunswick,25
2174,2020-04-01,New Brunswick,14
2176,2020-03-30,New Brunswick,2
2178,2020-03-28,New Brunswick,2
2180,2020-03-26,New Brunswick,0
2182,2020-03-24,New Brunswick,0
2184,2020-03-22,New Brunswick,0
2186,2020-03-20,New Brunswick,0
2188,2020-03-18,New Brunswick,0
2190,2020-03-16,New Brunswick,0
2192,2020-03-14,New Brunswick,0
2194,2020-03-12,New Brunswick,0
2196,2020-03-10,New Brunswick,-1
2198,2020-03-08,New Brunswick,-1
2200,2020-03-06,New Brunswick,-1
2202,2020-03-04,New Brunswick,-1
2204,2020-03-02,New Brunswick,-1
2206,2020-02-29,New Brunswick,-1
2208,2020-02-27,New Brunswick,-1
2210,2020-02-25,New Brunswick,-1
2212,2020-02-23,New Brunswick,-1
2214,2020-02-21,New Brunswick,-1
2216,2020-02-19,New Brunswick,-1
2218,2020-02-17,New Brunswick,-1
2220,2020-02-15,New Brunswick,-1
2222,2020-02-13,New Brunswick,-1
2224,2020-04-10,NL,103
2226,2020-04-08,NL,74
2228,2020-04-06,NL,32
2230,2020-04-04,NL,18
2232,2020-04-02,NL,10
2234,2020-03-31,NL,7
2236,2020-03-29,NL,4
2238,2020-03-27,NL,1
2240,2020-03-25,NL,0
