region,date,value
Ontario,0,103
Ontario,1,145
Ontario,2,177
Ontario,3,189
Ontario,4,214
Ontario,5,258
Ontario,6,318
Ontario,7,377
Ontario,8,425
Ontario,9,503
Ontario,10,588
Ontario,11,688
Ontario,12,858
Ontario,13,993
Ontario,14,1144
Ontario,15,1355
Ontario,16,1706
Ontario,17,1966
Ontario,18,2851
Ontario,19,3288
Ontario,20,3686
Ontario,21,4021
Ontario,22,4441
Ontario,23,4845
Ontario,24,5391
Ontario,25,5838
Ontario,26,6397
Ontario,27,6804
Ontario,28,7294
Ontario,29,7727
Saskatchewan,0,104
Saskatchewan,1,134
Saskatchewan,2,156
Saskatchewan,3,176
Saskatchewan,4,184
Saskatchewan,5,193
Saskatchewan,6,206
Saskatchewan,7,220
Saskatchewan,8,231
Saskatchewan,9,249
Saskatchewan,10,253
Saskatchewan,11,260
Saskatchewan,12,271
Saskatchewan,13,278
Saskatchewan,14,285
Saskatchewan,15,289
Saskatchewan,16,298
BC,0,103
BC,1,186
BC,2,231
BC,3,271
BC,4,348
BC,5,424
BC,6,472
BC,7,617
BC,8,659
BC,9,725
BC,10,792
BC,11,884
BC,12,970
BC,13,1013
BC,14,1066
BC,15,1121
BC,16,1174
BC,17,1203
BC,18,1266
BC,19,1291
BC,20,1336
BC,21,1370
BC,22,1410
BC,23,1445
Quebec,0,121
Quebec,1,139
Quebec,2,181
Quebec,3,219
Quebec,4,628
Quebec,5,1040
Quebec,6,1339
Quebec,7,1629
Quebec,8,2021
Quebec,9,2498
Quebec,10,2840
Quebec,11,3430
Quebec,12,4162
Quebec,13,4611
Quebec,14,5518
Quebec,15,6101
Quebec,16,6997
Quebec,17,7944
Quebec,18,8580
Quebec,19,9342
Quebec,20,10033
Quebec,21,10914
Quebec,22,11679
Quebec,23,12294
Quebec,24,12848
Nova Scotia,0,110
Nova Scotia,1,122
Nova Scotia,2,127
Nova Scotia,3,147
Nova Scotia,4,173
Nova Scotia,5,193
Nova Scotia,6,207
Nova Scotia,7,236
Nova Scotia,8,262
Nova Scotia,9,293
Nova Scotia,10,310
Nova Scotia,11,342
Nova Scotia,12,373
Nova Scotia,13,407
Nova Scotia,14,428
Nova Scotia,15,445
Alberta,0,119
Alberta,1,146
Alberta,2,195
Alberta,3,226
Alberta,4,259
Alberta,5,301
Alberta,6,358
Alberta,7,419
Alberta,8,486
Alberta,9,542
Alberta,10,621
Alberta,11,661
Alberta,12,690
Alberta,13,754
Alberta,14,871
Alberta,15,968
Alberta,16,1075
Alberta,17,1181
Alberta,18,1250
Alberta,19,1348
Alberta,20,1373
Alberta,21,1423
Alberta,22,1451
Alberta,23,1500
Alberta,24,1569
Alberta,25,1651
NL,0,102
NL,1,120
NL,2,135
NL,3,148
NL,4,152
NL,5,175
NL,6,183
NL,7,195
NL,8,203
NL,9,217
NL,10,226
NL,11,228
NL,12,232
NL,13,236
NL,14,239
NL,15,241
NL,16,242
Manitoba,0,103
Manitoba,1,127
Manitoba,2,167
Manitoba,3,182
Manitoba,4,194
Manitoba,5,203
Manitoba,6,204
Manitoba,7,217
Manitoba,8,221
Manitoba,9,224
Manitoba,10,230
Manitoba,11,243
New Brunswick,0,101
New Brunswick,1,103
New Brunswick,2,105
New Brunswick,3,108
New Brunswick,4,111
New Brunswick,5,112
New Brunswick,6,114
Canada,0,116
Canada,1,156
Canada,2,198
Canada,3,257
Canada,4,341
Canada,5,441
Canada,6,597
Canada,7,727
Canada,8,873
Canada,9,1087
Canada,10,1331
