region,date,recent,cumulative,date_shifted
Ontario,2020-03-14,75,103,0
Ontario,2020-03-15,113,145,1
Ontario,2020-03-16,142,177,2
Ontario,2020-03-17,152,189,3
Ontario,2020-03-18,172,214,4
Ontario,2020-03-19,199,258,5
Ontario,2020-03-20,239,318,6
Ontario,2020-03-21,274,377,7
Ontario,2020-03-22,280,425,8
Ontario,2020-03-23,326,503,9
Ontario,2020-03-24,399,588,10
Ontario,2020-03-25,474,688,11
Ontario,2020-03-26,600,858,12
Ontario,2020-03-27,675,993,13
Ontario,2020-03-28,767,1144,14
Ontario,2020-03-29,930,1355,15
Ontario,2020-03-30,1203,1706,16
Ontario,2020-03-31,1378,1966,17
Ontario,2020-04-01,2163,2851,18
Ontario,2020-04-02,2430,3288,19
Ontario,2020-04-03,2693,3686,20
Ontario,2020-04-04,2877,4021,21
Ontario,2020-04-05,3086,4441,22
Ontario,2020-04-06,3139,4845,23
Ontario,2020-04-07,3425,5391,24
Ontario,2020-04-08,2987,5838,25
Ontario,2020-04-09,3109,6397,26
Ontario,2020-04-10,3118,6804,27
Ontario,2020-04-11,3273,7294,28
Nova Scotia,2020-03-28,89,110,0
Nova Scotia,2020-03-29,94,122,1
Nova Scotia,2020-03-30,86,127,2
Nova Scotia,2020-03-31,96,147,3
Nova Scotia,2020-04-01,105,173,4
Nova Scotia,2020-04-02,120,193,5
Nova Scotia,2020-04-03,117,207,6
Nova Scotia,2020-04-04,126,236,7
Nova Scotia,2020-04-05,140,262,8
Nova Scotia,2020-04-06,166,293,9
Nova Scotia,2020-04-07,163,310,10
Nova Scotia,2020-04-08,169,342,11
Nova Scotia,2020-04-09,180,373,12
Nova Scotia,2020-04-10,200,407,13
Nova Scotia,2020-04-11,192,428,14
BC,2020-03-16,76,103,0
BC,2020-03-17,154,186,1
BC,2020-03-18,192,231,2
BC,2020-03-19,225,271,3
BC,2020-03-20,295,348,4
BC,2020-03-21,360,424,5
BC,2020-03-23,399,472,6
BC,2020-03-24,514,617,7
BC,2020-03-25,473,659,8
BC,2020-03-26,494,725,9
BC,2020-03-27,521,792,10
BC,2020-03-28,536,884,11
BC,2020-03-30,546,970,12
BC,2020-03-31,541,1013,13
BC,2020-04-01,449,1066,14
BC,2020-04-02,462,1121,15
BC,2020-04-03,449,1174,16
BC,2020-04-04,411,1203,17
BC,2020-04-06,382,1266,18
BC,2020-04-07,321,1291,19
BC,2020-04-08,323,1336,20
BC,2020-04-09,304,1370,21
BC,2020-04-10,289,1410,22
BC,2020-04-11,271,1445,23
Alberta,2020-03-18,100,119,0
Alberta,2020-03-19,123,146,1
Alberta,2020-03-20,166,195,2
Alberta,2020-03-21,187,226,3
Alberta,2020-03-22,203,259,4
Alberta,2020-03-23,227,301,5
Alberta,2020-03-24,261,358,6
Alberta,2020-03-25,300,419,7
Alberta,2020-03-26,340,486,8
Alberta,2020-03-27,347,542,9
