region,date,value
York Regional Health Unit,2020-02-29,1
York Regional Health Unit,2020-03-01,3
York Regional Health Unit,2020-03-02,0
York Regional Health Unit,2020-03-03,2
York Regional Health Unit,2020-03-04,0
York Regional Health Unit,2020-03-05,0
York Regional Health Unit,2020-03-06,1
York Regional Health Unit,2020-03-07,0
York Regional Health Unit,2020-03-08,0
York Regional Health Unit,2020-03-09,0
York Regional Health Unit,2020-03-10,0
York Regional Health Unit,2020-03-11,1
York Regional Health Unit,2020-03-12,0
York Regional Health Unit,2020-03-13,1
York Regional Health Unit,2020-03-14,0
York Regional Health Unit,2020-03-15,4
York Regional Health Unit,2020-03-16,5
York Regional Health Unit,2020-03-17,1
York Regional Health Unit,2020-03-18,2
York Regional Health Unit,2020-03-19,11
York Regional Health Unit,2020-03-20,1
York Regional Health Unit,2020-03-21,6
York Regional Health Unit,2020-03-22,9
York Regional Health Unit,2020-03-23,17
York Regional Health Unit,2020-03-24,22
York Regional Health Unit,2020-03-25,20
York Regional Health Unit,2020-03-26,34
York Regional Health Unit,2020-03-27,0
York Regional Health Unit,2020-03-28,0
York Regional Health Unit,2020-03-29,0
York Regional Health Unit,2020-03-30,0
York Regional Health Unit,2020-03-31,0
York Regional Health Unit,2020-04-01,184
York Regional Health Unit,2020-04-02,39
York Regional Health Unit,2020-04-03,43
York Regional Health Unit,2020-04-04,24
York Regional Health Unit,2020-04-05,13
York Regional Health Unit,2020-04-06,20
York Regional Health Unit,2020-04-07,59
York Regional Health Unit,2020-04-08,35
York Regional Health Unit,2020-04-09,46
York Regional Health Unit,2020-04-10,52
York Regional Health Unit,2020-04-11,23
The District of Algoma Health Unit,2020-02-29,0
The District of Algoma Health Unit,2020-03-01,0
The District of Algoma Health Unit,2020-03-02,0
The District of Algoma Health Unit,2020-03-03,0
The District of Algoma Health Unit,2020-03-04,0
The District of Algoma Health Unit,2020-03-05,0
The District of Algoma Health Unit,2020-03-06,0
The District of Algoma Health Unit,2020-03-07,0
The District of Algoma Health Unit,2020-03-08,0
The District of Algoma Health Unit,2020-03-09,0
The District of Algoma Health Unit,2020-03-10,0
The District of Algoma Health Unit,2020-03-11,0
The District of Algoma Health Unit,2020-03-12,0
The District of Algoma Health Unit,2020-03-13,0
The District of Algoma Health Unit,2020-03-14,0
The District of Algoma Health Unit,2020-03-15,0
The District of Algoma Health Unit,2020-03-16,0
The District of Algoma Health Unit,2020-03-17,0
The District of Algoma Health Unit,2020-03-18,1
The District of Algoma Health Unit,2020-03-19,0
The District of Algoma Health Unit,2020-03-20,0
The District of Algoma Health Unit,2020-03-21,0
The District of Algoma Health Unit,2020-03-22,0
The District of Algoma Health Unit,2020-03-23,0
The District of Algoma Health Unit,2020-03-24,0
The District of Algoma Health Unit,2020-03-25,0
The District of Algoma Health Unit,2020-03-26,0
The District of Algoma Health Unit,2020-03-27,0
The District of Algoma Health Unit,2020-03-28,1
The District of Algoma Health Unit,2020-03-29,2
The District of Algoma Health Unit,2020-03-30,1
The District of Algoma Health Unit,2020-03-31,0
The District of Algoma Health Unit,2020-04-01,0
The District of Algoma Health Unit,2020-04-02,1
The District of Algoma Health Unit,2020-04-03,1
The District of Algoma Health Unit,2020-04-04,1
The District of Algoma Health Unit,2020-04-05,0
The District of Algoma Health Unit,2020-04-06,1
The District of Algoma Health Unit,2020-04-07,0
The District of Algoma Health Unit,2020-04-08,0
The District of Algoma Health Unit,2020-04-09,1
The District of Algoma Health Unit,2020-04-10,0
The District of Algoma Health Unit,2020-04-11,0
Simcoe Muskoka District Health Unit,2020-02-29,0
Simcoe Muskoka District Health Unit,2020-03-01,0
Simcoe Muskoka District Health Unit,2020-03-02,0
Simcoe Muskoka District Health Unit,2020-03-03,0
Simcoe Muskoka District Health Unit,2020-03-04,0
Simcoe Muskoka District Health Unit,2020-03-05,0
Simcoe Muskoka District Health Unit,2020-03-06,0
Simcoe Muskoka District Health Unit,2020-03-07,0
Simcoe Muskoka District Health Unit,2020-03-08,0
Simcoe Muskoka District Health Unit,2020-03-09,0
Simcoe Muskoka District Health Unit,2020-03-10,0
Simcoe Muskoka District Health Unit,2020-03-11,0
Simcoe Muskoka District Health Unit,2020-03-12,1
Simcoe Muskoka District Health Unit,2020-03-13,0
Simcoe Muskoka District Health Unit,2020-03-14,0
Simcoe Muskoka District Health Unit,2020-03-15,2
Simcoe Muskoka District Health Unit,2020-03-16,0
Simcoe Muskoka District Health Unit,2020-03-17,1
Simcoe Muskoka District Health Unit,2020-03-18,1
Simcoe Muskoka District Health Unit,2020-03-19,0
Simcoe Muskoka District Health Unit,2020-03-20,0
Simcoe Muskoka District Health Unit,2020-03-21,4
Simcoe Muskoka District Health Unit,2020-03-22,0
Simcoe Muskoka District Health Unit,2020-03-23,1
Simcoe Muskoka District Health Unit,2020-03-24,1
Simcoe Muskoka District Health Unit,2020-03-25,5
Simcoe Muskoka District Health Unit,2020-03-26,10
Simcoe Muskoka District Health Unit,2020-03-27,7
Simcoe Muskoka District Health Unit,2020-03-28,0
Simcoe Muskoka District Health Unit,2020-03-29,0
Simcoe Muskoka District Health Unit,2020-03-30,11
Simcoe Muskoka District Health Unit,2020-03-31,0
Simcoe Muskoka District Health Unit,2020-04-01,13
Simcoe Muskoka District Health Unit,2020-04-02,9
Simcoe Muskoka District Health Unit,2020-04-03,5
Simcoe Muskoka District Health Unit,2020-04-04,0
Simcoe Muskoka District Health Unit,2020-04-05,0
Simcoe Muskoka District Health Unit,2020-04-06,16
Simcoe Muskoka District Health Unit,2020-04-07,10
Simcoe Muskoka District Health Unit,2020-04-08,9
Simcoe Muskoka District Health Unit,2020-04-09,6
Simcoe Muskoka District Health Unit,2020-04-10,0
Simcoe Muskoka District Health Unit,2020-04-11,29
Chatham-Kent Health Unit,2020-02-29,0
Chatham-Kent Health Unit,2020-03-01,0
Chatham-Kent Health Unit,2020-03-02,0
Chatham-Kent Health Unit,2020-03-03,0
Chatham-Kent Health Unit,2020-03-04,0
Chatham-Kent Health Unit,2020-03-05,0
Chatham-Kent Health Unit,2020-03-06,0
Chatham-Kent Health Unit,2020-03-07,0
Chatham-Kent Health Unit,2020-03-08,0
Chatham-Kent Health Unit,2020-03-09,0
Chatham-Kent Health Unit,2020-03-10,0
Chatham-Kent Health Unit,2020-03-11,0
