region,date,value
Ontario,0,1.2000000000000002
Ontario,1,3.3000000000000003
Ontario,2,4.9
Ontario,3,5.5
Ontario,4,6.75
Ontario,5,8.95
Ontario,6,11.95
Ontario,7,14.899999999999999
Ontario,8,16.099999999999998
Ontario,9,17.9
Ontario,10,20.549999999999997
Ontario,11,24.949999999999996
Ontario,12,32.199999999999996
Ontario,13,36.74999999999999
Ontario,14,41.3
Ontario,15,48.89999999999999
Ontario,16,64.04999999999998
Ontario,17,73.14999999999998
Ontario,18,113.14999999999998
Ontario,19,129.99999999999997
Ontario,20,141.39999999999998
Ontario,21,151.39999999999998
Ontario,22,164.84999999999997
Ontario,23,174.49999999999994
Ontario,24,184.24999999999994
Ontario,25,193.59999999999994
Ontario,26,177.29999999999995
Ontario,27,175.79999999999995
Ontario,28,180.39999999999995
Italy,0,4.65
Italy,1,8.350000000000001
Italy,2,13.000000000000002
Italy,3,19.550000000000004
Italy,4,29.650000000000006
Italy,5,41.300000000000004
Italy,6,53.300000000000004
Italy,7,81.60000000000001
Italy,8,94.05000000000001
Italy,9,113.65
Italy,10,138.35
Italy,11,170.25
Italy,12,199.05
Italy,13,249.75000000000003
Italy,14,312.35
Italy,15,373.90000000000003
Italy,16,405.65000000000003
Italy,17,498.00000000000006
Italy,18,468.65000000000003
Italy,19,690.1
Italy,20,826.0500000000001
Italy,21,943.2
Italy,22,1030.2500000000002
Italy,23,1116.7000000000003
Italy,24,1278.2000000000003
Italy,25,1428.65
South Korea,0,3.6500000000000004
South Korea,1,8.65
South Korea,2,20.1
South Korea,3,28.550000000000004
South Korea,4,40.10000000000001
South Korea,5,47.30000000000001
South Korea,6,61.500000000000014
South Korea,7,86.75000000000001
South Korea,8,111.65
South Korea,9,147.3
South Korea,10,165.15000000000003
South Korea,11,186.65000000000003
South Korea,12,217.65000000000003
South Korea,13,232.20000000000005
South Korea,14,241.35000000000005
South Korea,15,241.35000000000002
South Korea,16,235.2
South Korea,17,208.2
South Korea,18,187.09999999999997
South Korea,19,158.89999999999998
South Korea,20,128.44999999999996
South Korea,21,112.39999999999995
South Korea,22,94.54999999999995
South Korea,23,74.64999999999995
South Korea,24,56.04999999999994
South Korea,25,46.099999999999945
South Korea,26,42.099999999999945
South Korea,27,44.99999999999994
South Korea,28,40.49999999999994
Singapore,0,0.45
Singapore,1,0.65
Singapore,2,0.75
Singapore,3,0.85
Singapore,4,0.85
Singapore,5,1.2
Singapore,6,1.85
Singapore,7,2.25
Singapore,8,2.4
Singapore,9,2.1999999999999997
Singapore,10,2.5999999999999996
Singapore,11,3.3999999999999995
Singapore,12,3.3999999999999995
Singapore,13,4.15
Singapore,14,4.1
Singapore,15,4.3999999999999995
Singapore,16,4.65
Singapore,17,5.800000000000001
Singapore,18,7.65
Singapore,19,8.35
