"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,1.1674010718613,0.238294745936528,0.747975894368465,0.804973563911052,0.999086809270937,1.15122781351579,1.31810197047828,1.58500886400109,1.67868834653114
3,9,1.07323451590188,0.228814367607848,0.672590357226347,0.72656701238221,0.911350039060236,1.05701791747888,1.21746004880871,1.47523125073887,1.56598237320062
4,10,1.20522328737154,0.246015173348334,0.772209301511192,0.831053618442567,1.03145587036271,1.18852603733424,1.36080669124098,1.6363610070519,1.7330755780897
5,11,1.45780076618277,0.266156787995539,0.983572055221212,1.04932398206827,1.27056609804081,1.44163536598328,1.62742708871214,1.92142865442682,2.02385690428644
6,12,1.7615131828,0.275102140374248,1.26409227265083,1.334717670982,1.5689932114916,1.74721282129281,1.9384529785835,2.23709463698519,2.34017657747164
7,13,2.04701709313354,0.266498926114188,1.55828425510108,1.62925711510523,1.861525817484,2.0354637126819,2.21991877793085,2.50419011982744,2.60139268210244
8,14,2.13196612526235,0.235436272752599,1.69561592858138,1.76004214627136,1.96880002990947,2.12330588728654,2.28569418695172,2.53343279735202,2.61752411893117
9,15,2.06831075560663,0.199023295252881,1.69667540183404,1.75219008105195,1.93082082297942,2.06193059498759,2.19884702594757,2.40619575797073,2.47619977801302
10,16,1.91617124962397,0.166153119386443,1.60437014443359,1.65130610484439,1.80163992229089,1.9113709610565,2.02547058270332,2.19741123466634,2.25524939928208
11,17,1.76648021954006,0.141431608144078,1.50015528155871,1.54045912530493,1.66914099257378,1.76270712633356,1.85970691861054,2.00537209069746,2.05424559380547
12,18,1.66277388411958,0.124281555230241,1.42810056236893,1.46376456632172,1.57734545208512,1.65967849810955,1.74482839746576,1.87234213868983,1.91503678479095
13,19,1.61579074953469,0.112577475938782,1.40266336894929,1.43518252620119,1.53850090439265,1.6131769548472,1.69023155303822,1.80531507829612,1.8437711969276
14,20,1.57421247658981,0.102690299143052,1.37936109012455,1.40919515578903,1.50378586151695,1.57198011503644,1.64220577843404,1.74684474480743,1.78174950642836
15,21,1.53725556059308,0.0942551859041629,1.3580519416499,1.38557395045928,1.47267518808111,1.53532960492655,1.59973658303288,1.69550690105125,1.72740370612228
16,22,1.51493534179595,0.0873194214452674,1.34860816118981,1.37422540618895,1.45516068175918,1.51325800322715,1.57288163303087,1.66136692367831,1.69079429854584
17,23,1.5332259183267,0.0821895362888124,1.37635010112843,1.40058687738707,1.47701859041163,1.53175756146978,1.58783265921536,1.67087372680897,1.69844598318695
18,24,1.5773461737227,0.0777102683384701,1.42869481698424,1.45173743779563,1.52425907253016,1.57607018739749,1.62904236731671,1.70730746472324,1.73324863298378
19,25,1.61955839726065,0.0728673772013055,1.47987106634535,1.50159481303061,1.56983263185309,1.61846570901865,1.66809305049052,1.74124927520402,1.76545522645284
20,26,1.62695045072348,0.0671514316191375,1.49798057019493,1.51809418884579,1.58116802618878,1.6260266653155,1.67172587221263,1.73895785277161,1.7611700145251
21,27,1.61914242229751,0.0615505594101662,1.50073675269369,1.51924831905807,1.57721304620155,1.61836255539276,1.66022167331325,1.72169673927646,1.74197993029452
22,28,1.62484299572129,0.0567419787040375,1.51551929140736,1.53265076884844,1.58621961766088,1.62418253819272,1.66274641182692,1.71928811488183,1.73791996789261
23,29,1.67564965956086,0.0529886948469806,1.57338981863169,1.58945398869282,1.63961140618953,1.67509114278568,1.71107907300442,1.76375048957619,1.78108346519002
24,30,1.75129110188594,0.0494352207906207,1.65572825201873,1.67077842823949,1.71769886292071,1.75082597349698,1.78437630130256,1.83339037545175,1.84949721144978
25,31,1.81549562381177,0.045430001204518,1.72753603924351,1.74142177771138,1.78465050713157,1.81511669911097,1.84592767049249,1.89086201919874,1.90560858919911
26,32,1.80835008149361,0.0405679980358795,1.72970374077862,1.74214305433925,1.78082454081035,1.80804672699935,1.83554493113419,1.87559187989464,1.88872034984697
27,33,1.71777812291507,0.0354425988275395,1.6490071134629,1.6598989302084,1.69374144344725,1.71753436886639,1.74154908214588,1.77648878370308,1.78793435909548
28,34,1.5926453328575,0.0310203269073497,1.53242087771695,1.54196722845249,1.57161411283576,1.59244394065669,1.61345701173858,1.64401040491469,1.65401427780011
29,35,1.4822888274266,0.027722076491103,1.42844727565993,1.43698672067268,1.46349756414317,1.48211600964652,1.50089169891076,1.52818043171775,1.5371124840618
30,36,1.3907977742217,0.0252872322585764,1.34167260725973,1.3494669987481,1.37365928840955,1.39064452127124,1.40776919613481,1.43265130972515,1.44079386143982
31,37,1.31289716063772,0.023444592154245,1.26734440961618,1.27457371150009,1.29700887806476,1.31275761213127,1.32863331873959,1.35169662264654,1.35924295113156
32,38,1.23620262701573,0.0219494212168116,1.19355286110276,1.20032195926837,1.2213280097822,1.23607272164271,1.25093563192854,1.27252641400531,1.27959063152259
33,39,1.16967169784383,0.0208273078808264,1.12920330687567,1.1356259525356,1.15555732413478,1.16954808235886,1.18365131596461,1.20413910700835,1.21084258261662
34,40,1.12940887706506,0.0201519570434671,1.09025343007794,1.09646753342248,1.11575204760135,1.12928902271223,1.14293505102614,1.162759054997,1.169245443727
35,41,1.11646299508313,0.0198233817147122,1.0779443215662,1.08405775915874,1.10302914585458,1.1163456724544,1.12976894868011,1.14926842934519,1.1556484007794
36,42,1.1135056968599,0.0195895276514143,1.07543838258874,1.08148090583123,1.10023089091806,1.1133908216642,1.1266552751465,1.14592233779412,1.15222583485305
37,43,1.1101157706279,0.0193334250376705,1.07254286616865,1.07850768532871,1.09701511905341,1.11000353770752,1.12309407492428,1.14210669277513,1.14832648308486
38,44,1.10174544128925,0.0190295823703891,1.0647604277846,1.07063253565157,1.08885116296827,1.10163588222385,1.11452028713915,1.13323206299922,1.13935306759136
39,45,1.0930033388388,0.0187420966286398,1.05657483881652,1.06235911909753,1.0803042736585,1.09289621502304,1.10558562624922,1.12401296778319,1.13004061242069
40,46,1.08661274941539,0.0184970434502044,1.05065835491737,1.05636787683768,1.0740801339864,1.0865077949009,1.09903095186081,1.11721563150186,1.12316358959052
41,47,1.08724110239192,0.0183254450424254,1.05161733149127,1.0572750465351,1.07482529838633,1.08713814568768,1.09954467125119,1.1175583530325,1.12344996566216
