country_code,country,geography_code,geography,geography_type,group_code,group_name,group_type,start_date,end_date,job_postings_count,population
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-01-05,2020-01-11,712,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-01-12,2020-01-18,728,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-01-19,2020-01-25,668,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-01-26,2020-02-01,693,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-02-02,2020-02-08,322,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-02-09,2020-02-15,851,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-02-16,2020-02-22,881,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-02-23,2020-02-29,727,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-03-01,2020-03-07,547,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-03-08,2020-03-14,837,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-03-15,2020-03-21,586,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-03-22,2020-03-28,485,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-03-29,2020-04-04,531,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-04-05,2020-04-11,487,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-04-12,2020-04-18,365,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-04-19,2020-04-25,266,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-04-26,2020-05-02,405,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-05-03,2020-05-09,404,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-05-10,2020-05-16,498,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-05-17,2020-05-23,449,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-05-24,2020-05-30,477,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-05-31,2020-06-06,411,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-06-07,2020-06-13,560,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-06-14,2020-06-20,515,1345777.0
AU,Australia,,Adelaide,Metropolitan Area,Total,Total,Total,2020-06-21,2020-06-27,371,1345777.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-01-05,2020-01-11,2025,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-01-12,2020-01-18,1711,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-01-19,2020-01-25,1710,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-01-26,2020-02-01,1267,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-02-02,2020-02-08,1118,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-02-09,2020-02-15,2005,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-02-16,2020-02-22,2658,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-02-23,2020-02-29,2955,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-03-01,2020-03-07,1970,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-03-08,2020-03-14,3582,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-03-15,2020-03-21,2565,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-03-22,2020-03-28,2452,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-03-29,2020-04-04,1436,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-04-05,2020-04-11,1413,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-04-12,2020-04-18,932,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-04-19,2020-04-25,1100,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-04-26,2020-05-02,907,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-05-03,2020-05-09,882,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-05-10,2020-05-16,1375,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-05-17,2020-05-23,1470,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-05-24,2020-05-30,908,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-05-31,2020-06-06,862,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-06-07,2020-06-13,1347,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-06-14,2020-06-20,1000,2462637.0
AU,Australia,,Brisbane,Metropolitan Area,Total,Total,Total,2020-06-21,2020-06-27,805,2462637.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-01-05,2020-01-11,4383,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-01-12,2020-01-18,3945,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-01-19,2020-01-25,3558,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-01-26,2020-02-01,3217,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-02-02,2020-02-08,2269,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-02-09,2020-02-15,4937,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-02-16,2020-02-22,5121,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-02-23,2020-02-29,4043,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-03-01,2020-03-07,3378,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-03-08,2020-03-14,4463,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-03-15,2020-03-21,2740,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-03-22,2020-03-28,2346,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-03-29,2020-04-04,2541,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-04-05,2020-04-11,2110,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-04-12,2020-04-18,1557,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-04-19,2020-04-25,1191,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-04-26,2020-05-02,1995,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-05-03,2020-05-09,1784,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-05-10,2020-05-16,2040,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-05-17,2020-05-23,2054,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-05-24,2020-05-30,1950,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-05-31,2020-06-06,2004,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-06-07,2020-06-13,2363,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-06-14,2020-06-20,2381,4963349.0
AU,Australia,,Melbourne,Metropolitan Area,Total,Total,Total,2020-06-21,2020-06-27,1813,4963349.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-01-05,2020-01-11,1375,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-01-12,2020-01-18,1435,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-01-19,2020-01-25,1095,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-01-26,2020-02-01,1319,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-02-02,2020-02-08,731,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-02-09,2020-02-15,1806,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-02-16,2020-02-22,1611,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-02-23,2020-02-29,1506,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-03-01,2020-03-07,1197,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-03-08,2020-03-14,1586,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-03-15,2020-03-21,1029,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-03-22,2020-03-28,916,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-03-29,2020-04-04,1056,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-04-05,2020-04-11,957,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-04-12,2020-04-18,633,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-04-19,2020-04-25,541,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-04-26,2020-05-02,663,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-05-03,2020-05-09,899,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-05-10,2020-05-16,936,2059484.0
AU,Australia,,Perth,Metropolitan Area,Total,Total,Total,2020-05-17,2020-05-23,1119,2059484.0
